,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
,,,,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36
irradiation,position,label,date,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time
UM52,NA,EXB#78,15-May-2013 11:03,-0.0121975978,44.952784,-0.0474830157,44.952784,0.1172986498,44.952784,1.8834264763,44.952784,0.0072885227,44.952784,0.0106199344,79.057784,-0.0023600548,79.057784,0.100517596,79.057784,2.0785171407,79.057784,0.0075463654,79.057784,0.0113270332,113.039784,-0.0304932413,113.039784,0.1417340228,113.039784,2.2912187108,113.039784,0.008338993,113.039784,0.019108799,147.048784,-0.0541461635,147.048784,0.1512637233,147.048784,2.4720714454,147.048784,0.0083915165,147.048784,0.0228703117,181.042784,-0.0227108712,181.042784,0.1860105145,181.042784,2.7031427377,181.042784,0.0092509924,181.042784,0.0026851541,215.040784,-0.0427808764,215.040784,0.1934632411,215.040784,2.8712201799,215.040784,0.0096520812,215.040784,0.0179752452,249.044784,-0.0407870167,249.044784,0.2327061811,249.044784,3.0759601665,249.044784,0.0100245208,249.044784
UM52,14,FC1_MD2,15-May-2013 11:14,2.7976427831,44.928784,37.3910848315,44.928784,3156.850883677,44.928784,2023.5251692557,44.928784,0.0397624752,44.928784,2.7569217007,79.098784,36.9317176593,79.098784,3117.5059435344,79.098784,2001.0498611291,79.098784,0.0473402366,79.098784,2.7103563852,113.066784,36.5307549186,113.066784,3079.1636365895,113.066784,1979.0914069042,113.066784,0.0532181422,113.066784,2.716050239,147.062784,36.0876194302,147.062784,3041.2700354584,147.062784,1957.6937615501,147.062784,0.0597311174,147.062784,2.6958737062,181.063784,35.6165592941,181.063784,3003.9209291163,181.063784,1936.4944853817,181.063784,0.0652079436,181.063784,2.6038441227,215.055784,35.2382842263,215.055784,2966.8244312863,215.055784,1915.4952181035,215.055784,0.0719501297,215.055784,2.64202316,249.066784,34.8394914654,249.066784,2930.4047910474,249.066784,1894.8622290832,249.066784,0.078181407,249.066784
UM52,14,FC2-MD2,15-May-2013 11:45,1.5646444351,94.128784,20.6593079897,94.128784,1741.3661809376,94.128784,1123.0385599463,94.128784,0.044580345,94.128784,1.5190115038,127.874784,20.355368859,127.874784,1720.0812658358,127.874784,1110.8535113697,127.874784,0.0479561988,127.874784,1.5012224119,161.883784,20.1348755182,161.883784,1699.0995161476,161.883784,1098.9769217225,161.883784,0.051470527,161.883784,1.498490308,195.867784,19.8720944275,195.867784,1678.1389759571,195.867784,1087.34612021,195.867784,0.0546410643,195.867784,1.4703416928,229.866784,19.6400889616,229.866784,1657.6402384764,229.866784,1075.7459671258,229.866784,0.0589432571,229.866784,1.4397849841,263.863784,19.4348329122,263.863784,1637.6761187687,263.863784,1064.3773861104,263.863784,0.0622522712,263.863784,1.4264933891,297.877784,19.190939294,297.877784,1617.5460161878,297.877784,1052.9381496068,297.877784,0.0663491487,297.877784
UM52,14,FC3-MD2,15-May-2013 12:03,3.8649542975,44.933784,49.3057937661,44.933784,4158.3859919158,44.933784,2690.8771046237,44.933784,0.1359105976,44.933784,3.7973569548,78.910784,48.669370828,78.910784,4107.0513775018,78.910784,2661.4304685819,78.910784,0.1434455206,78.910784,3.7447397888,112.876784,48.0882956728,112.876784,4056.3643649462,112.876784,2632.6731355354,112.876784,0.1502928553,112.876784,3.7199998298,146.888784,47.5392757247,146.888784,4006.5932921247,146.888784,2603.920460998,146.888784,0.1582909736,146.888784,3.6939664279,180.877784,47.0084614863,180.877784,3957.2312081465,180.877784,2575.4926190462,180.877784,0.1663320789,180.877784,3.60708692,214.876784,46.4997546366,214.876784,3908.6410319625,214.876784,2547.9130885978,214.876784,0.1732462931,214.876784,3.5904101776,248.889784,45.9062276734,248.889784,3860.7980117075,248.889784,2520.3814404878,248.889784,0.1786802606,248.889784
UM52,14,FC4-MD2,15-May-2013 12:19,2.2244705927,44.961784,31.9391228535,44.961784,2695.1818500352,44.961784,1733.5273530382,44.961784,0.0495796654,44.961784,2.1669848292,79.110784,31.5421690117,79.110784,2662.1020656653,79.110784,1714.7790946442,79.110784,0.054808186,79.110784,2.1341283479,113.095784,31.1815695206,113.095784,2629.4534404212,113.095784,1696.4818945167,113.095784,0.0625148915,113.095784,2.1051314779,147.105784,30.7975247204,147.105784,2597.2797776337,147.105784,1678.1789412002,147.105784,0.0664923963,147.105784,2.0755653961,181.101784,30.4317655893,181.101784,2565.2985868904,181.101784,1660.3698600896,181.101784,0.0721459015,181.101784,2.0904632596,215.102784,30.0977902817,215.102784,2533.6623418023,215.102784,1642.3940385628,215.102784,0.0778853615,215.102784,2.0433768602,249.093784,29.7305187219,249.093784,2502.6550341688,249.093784,1625.0041831245,249.093784,0.0837585258,249.093784
UM52,NA,EXB#5,20-Jun-2013 14:22,-0.0477635122,44.968784,-0.0333947555,44.968784,0.0162398025,44.968784,1.9239708872,44.968784,0.0075272659,44.968784,-0.0228514706,78.889784,-0.0939771128,78.889784,0.021252964,78.889784,2.0203178766,78.889784,0.007665737,78.889784,0.0157336555,112.867784,-0.0896869428,112.867784,0.0228691747,112.867784,2.1085306382,112.867784,0.0080429514,112.867784,-0.0245499562,146.873784,-0.0607983309,146.873784,0.0074714022,146.873784,2.2041809322,146.873784,0.0079808781,146.873784,-0.0108781569,180.883784,-0.0512337757,180.883784,0.0110657787,180.883784,2.2486385211,180.883784,0.0084774641,180.883784,0.0065668828,214.880784,-0.0634518953,214.880784,0.0342668266,214.880784,2.3738674104,214.880784,0.0084679144,214.880784,-0.0211238234,248.866784,-0.1193095086,248.866784,0.0755787521,248.866784,2.4331727241,248.866784,0.0085443122,248.866784
UM52,14,MD2-1a,20-Jun-2013 14:49,0.1005363262,44.964784,2.9745886468,44.964784,174.5045976157,44.964784,705.1205898762,44.964784,0.9998267892,44.964784,0.0906801219,79.132784,2.9336113564,79.132784,172.4231783549,79.132784,696.7715411244,79.132784,0.9924960149,79.132784,0.1166266881,113.107784,2.8524742884,113.107784,170.2949327262,113.107784,688.7521053061,113.107784,0.981831786,113.107784,0.1265995015,147.122784,2.8811231689,147.122784,168.2346880877,147.122784,680.8314422364,147.122784,0.9703366021,147.122784,0.0916569898,181.138784,2.8571103272,181.138784,166.2056121878,181.138784,672.9937899505,181.138784,0.9621748933,181.138784,0.1069188546,215.124784,2.7810117558,215.124784,164.1458582484,215.124784,665.2192151006,215.124784,0.9485354592,215.124784,0.1029019758,249.134784,2.7358760036,249.134784,162.1670390496,249.134784,657.4542347328,249.134784,0.9372265991,249.134784
