,,,,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6
,,,,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36,1:L2:40,1:L2:40,2:L2:36,2:L2:36
irradiation,position,label,date,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time
NA,NA,L2-Air#1,21-Mar-2013 12:00,4599.5926643319,37.355848,15.2666977827,51.999392,4551.9612748459,66.828848,15.0655825323,81.469392,4503.8193979928,96.278848,14.9961310442,110.917392,4457.5154489227,125.798848,14.7726903524,140.421392,4410.5901961883,155.329848,14.6483882569,169.961392,4364.7171335489,184.778848,14.495108792,199.430392,4319.0436243975,214.327848,14.2819274198,228.959392
NA,NA,L2-Air#2,21-Mar-2013 12:00,4617.0814049559,37.384848,15.3057874327,52.017392,4569.2615807731,66.773848,15.0972282764,81.416392,4520.46505589,96.275848,14.9863467427,110.896392,4474.7862698247,125.778848,14.8505427964,140.430392,4427.209780517,155.246848,14.6857128057,169.899392,4381.2387434291,184.755848,14.569326152,199.377392,4336.1041624614,214.257848,14.3491025167,228.898392
NA,NA,L2-Air#3,21-Mar-2013 12:00,4601.7104728583,37.344848,15.176483764,51.978392,4553.4365171288,66.746848,15.1651657466,81.386392,4506.0547548851,96.235848,14.9425609792,110.869392,4459.2105882033,125.737848,14.7900242633,140.397392,4412.3788683504,155.266848,14.5981470336,169.888392,4366.7814259088,184.737848,14.460503537,199.366392,4321.4420996625,214.248848,14.341715088,228.888392
NA,NA,L2-Air#4,21-Mar-2013 12:00,4614.8984944342,37.384848,15.2234410408,52.016392,4566.2048905287,67.137848,15.14073916,81.769392,4518.171084306,96.608848,15.0264321435,111.240392,4470.8834301816,126.136848,14.8732610139,140.789392,4426.1622137987,155.646848,14.7292247078,170.291392,4379.3281389601,185.095848,14.5699504064,199.719392,4333.2413819536,214.648848,14.3456290965,229.289392
NA,NA,L2-Air#5,21-Mar-2013 12:00,4613.6004584551,37.336848,15.3121422718,51.976392,4564.9121598176,66.745848,15.099549592,81.367392,4517.4707166284,96.234848,15.0072964319,110.868392,4470.5624007045,125.757848,14.8338111236,140.377392,4424.8245693195,155.237848,14.7018343337,169.858392,4377.9566514246,184.735848,14.5422999871,199.359392,4332.5369165876,214.235848,14.3829341229,228.857392
NA,NA,L2-Air#6,21-Mar-2013 12:00,4609.7138512406,37.336848,15.2578890634,51.981392,4561.8991559286,66.757848,15.1518247148,81.389392,4514.4295060514,96.298848,15.0369955093,110.927392,4466.7689926224,125.747848,14.8940626344,140.379392,4420.2533360423,155.257848,14.6641786747,169.906392,4375.6005146165,184.756848,14.551208258,199.406392,4329.524875111,214.255848,14.3461945362,228.899392
NA,NA,L2-Air#7,21-Mar-2013 12:00,4616.5125409844,37.364848,15.2306993426,51.997392,4568.7846815466,66.733848,15.1250917699,81.386392,4520.5962258651,96.204848,14.9837464266,110.836392,4473.3539408376,125.753848,14.8653576885,140.386392,4427.1856177107,155.215848,14.7457279129,169.855392,4380.7629785348,184.717848,14.5655292249,199.376392,4335.2083379762,214.213848,14.3509824278,228.858392
NA,NA,L2-Air#8,21-Mar-2013 12:00,4613.2539871783,37.323848,15.2695115937,51.947392,4564.96376351,66.753848,15.1631454796,81.378392,4516.3231543028,96.226848,14.9803087312,110.876392,4469.4509665689,125.756848,14.8217475785,140.398392,4423.4453513674,155.246848,14.7161736371,169.878392,4377.2963027529,184.744848,14.5319083301,199.397392,4331.8763101339,214.245848,14.4058819316,228.898392
NA,NA,L2-Air#9,21-Mar-2013 12:00,4620.0533248131,37.344848,15.2962883104,51.986392,4571.3429220445,66.717848,15.1221459745,81.354392,4523.4518705402,96.215848,15.0396106577,110.876392,4476.2245563337,125.736848,14.8738633146,140.385392,4428.9674968044,155.213848,14.6249968704,169.858392,4382.9460805485,184.713848,14.5473820246,199.358392,4338.3254320211,214.235848,14.3706783762,228.856392
NA,NA,L2-Air#10,21-Mar-2013 12:00,4608.1922183515,37.367848,15.2236393945,51.997392,4559.4375015984,66.733848,15.1230936234,81.381392,4513.2206456907,96.228848,15.0028302616,110.876392,4465.1124194361,125.724848,14.884220005,140.378392,4419.2096863686,155.226848,14.6598234319,169.878392,4372.5887513872,184.755848,14.5003521466,199.388392,4327.2584764917,214.225848,14.3565870258,228.858392
NA,NA,L2-Air#1,13-May-2013 12:00,4589.964747455,37.363848,15.1044417509,60.384784,4514.5640843817,83.933848,14.8805112565,106.974784,4441.8882997983,130.403848,14.6675451581,153.444784,4369.5493195033,176.894848,14.43335187,199.935784,4299.3630092306,223.405848,14.1563994504,246.426784,4230.5574107576,269.893848,13.9037040697,292.925784,4162.0650793551,316.413848,13.7061229811,339.443784
NA,NA,L2-Air#2,13-May-2013 12:00,4570.8479358099,37.367848,15.0671135022,60.388784,4496.5020682488,83.697848,14.7902000312,106.726784,4423.0751209241,130.167848,14.6246793468,153.168784,4351.3646788833,176.689848,14.3223628587,199.718784,4281.1891743692,223.167848,14.0494689775,246.176784,4211.8907708194,269.685848,13.8528817238,292.707784,4143.9074366302,316.188848,13.6364194269,339.210784
