,,,,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6
,,,,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36
irradiation,position,label,date,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time
NA,NA,H1_CDD-Air#1,21-Mar-2013,4764.8701592294,39.649392,14.6868090974,39.649392,4734.9807097378,57.058392,14.8408507901,57.058392,4705.7316247547,74.523392,14.7431066751,74.523392,4676.7535725691,91.504392,14.6454026503,91.504392,4648.6058470329,108.531392,14.5398100006,108.531392,4619.9083968982,125.520392,14.4339417451,125.520392,4592.3574414462,142.505392,14.3388382939,142.505392
NA,NA,H1_CDD-Air#2,21-Mar-2013,4764.1685381536,39.604392,14.9345841617,39.604392,4734.5699759099,56.977392,14.8394909596,56.977392,4705.619334465,73.992392,14.7393911508,73.992392,4676.6845139354,90.985392,14.6050785947,90.985392,4648.3453268585,107.962392,14.5285872534,107.962392,4620.5253526095,124.988392,14.4136895092,124.988392,4592.2257918645,141.976392,14.3253561856,141.976392
NA,NA,H1_CDD-Air#3,21-Mar-2013,4761.4514132345,39.583392,14.9381753278,39.583392,4732.2938356715,57.005392,14.8103121459,57.005392,4703.3582565514,74.005392,14.7093223117,74.005392,4674.8202323971,91.014392,14.6335380961,91.014392,4646.5980634683,108.002392,14.496470409,108.002392,4618.3646252647,125.000392,14.4048896254,125.000392,4590.3439388132,142.012392,14.3105239906,142.012392
NA,NA,H1_CDD-Air#4,21-Mar-2013,4751.5150211309,39.632392,14.9212920797,39.632392,4721.7572361806,57.032392,14.8136159419,57.032392,4693.4853065766,74.017392,14.6878433051,74.017392,4665.0272858536,91.001392,14.5991798745,91.001392,4636.6868940933,108.022392,14.4873639685,108.022392,4608.7667440366,125.011392,14.3924415011,125.011392,4581.0404569511,142.003392,14.305870386,142.003392
NA,NA,H1_CDD-Air#5,21-Mar-2013,4753.1091629726,39.607392,14.9238106777,39.607392,4723.3276058311,57.016392,14.8108579903,57.016392,4695.004440333,74.010392,14.7238683309,74.010392,4666.9815050348,90.986392,14.6104698008,90.986392,4638.5614566923,107.986392,14.524680364,107.986392,4610.6325746387,125.008392,14.4067376956,125.008392,4583.0234851885,141.992392,14.296955776,141.992392
NA,NA,H1_CDD-Air#6,21-Mar-2013,4736.6412519854,39.615392,14.8611812541,39.615392,4707.0052376672,56.944392,14.7612629858,56.944392,4678.7010391977,73.925392,14.6577556039,73.925392,4649.7790629747,90.947392,14.558789137,90.947392,4622.7007839082,107.922392,14.458254105,107.922392,4594.7310003657,124.908392,14.3587838333,124.908392,4566.6173508671,141.917392,14.2526510552,141.917392
NA,NA,H1_CDD-Air#7,21-Mar-2013,4753.9558597531,39.616392,14.9091204688,39.616392,4724.4319142993,56.985392,14.7880570632,56.985392,4696.4675290824,74.001392,14.7222691287,74.001392,4668.1408970236,90.990392,14.5935205564,90.990392,4640.0914486259,107.975392,14.5214725035,107.975392,4611.9422515559,124.995392,14.4233512046,124.995392,4584.0924689946,141.979392,14.2895157746,141.979392
NA,NA,H1_CDD-Air#8,21-Mar-2013,4752.7679521221,39.600392,14.918122287,39.600392,4723.6280396932,56.996392,14.8259022504,56.996392,4695.1582253368,73.998392,14.7186589554,73.998392,4666.7517114613,90.998392,14.5938174072,90.998392,4638.1765239798,107.995392,14.5087081105,107.995392,4610.4157287528,124.988392,14.3909573036,124.988392,4582.9066155052,141.993392,14.2996847367,141.993392
NA,NA,H1_CDD-Air#9,21-Mar-2013,4752.8135314543,39.631392,14.9246917085,39.631392,4723.1754411447,57.016392,14.8162494039,57.016392,4695.150917541,73.969392,14.7181035444,73.969392,4666.7042824579,90.985392,14.5988542959,90.985392,4638.1973235979,108.007392,14.4977918496,108.007392,4610.8100307396,124.992392,14.4098018547,124.992392,4582.9584003703,142.000392,14.309164295,142.000392
NA,NA,H1_CDD-Air#10,21-Mar-2013,4736.5812508928,39.632392,14.8668504317,39.632392,4707.3153392232,57.001392,14.7439302195,57.001392,4678.8565718542,74.010392,14.64446421,74.010392,4650.8026847775,91.015392,14.5597562896,91.015392,4622.3545739993,108.000392,14.4398881609,108.000392,4594.8654711271,125.022392,14.3692497653,125.022392,4566.1973429333,142.491392,14.2665734415,142.491392
NA,NA,H1_CDD-Air#1,13-May-2013,4603.8941095767,97.609784,14.4238443442,97.609784,4549.4789825276,131.366784,14.2351715219,131.366784,4495.8093467781,165.344784,14.0487027845,165.344784,4442.7848828996,199.353784,13.8478309161,199.353784,4389.8932371693,233.351784,13.6591784152,233.351784,4338.1163968474,267.376784,13.4809776156,267.376784,4287.0991122059,301.349784,13.2928933194,301.349784
NA,NA,H1_CDD-Air#2,13-May-2013,4687.8492615667,47.981784,14.6833425879,47.981784,4632.3646878692,81.878784,14.4981461489,81.878784,4577.2007988555,115.884784,14.2722180506,115.884784,4522.9027426487,149.893784,14.0929531535,149.893784,4470.1550955596,183.866784,13.9001701434,183.866784,4417.5135256865,217.879784,13.7174135372,217.879784,4365.7267468189,251.890784,13.5264343875,251.890784
